EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Neither Agree or Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Pas d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Strongly agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas du tout d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , D'accord , Pas d'accord , Tout à fait d'accord , Tout à fait d'accord , Tout à fait d'accord , Pas d'accord , Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Neither Agree or Disagree, Agree, Strongly agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Pas d’accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly agree, Strongly agree, Strongly agree, Agree, Disagree, Agree, Strongly agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas du tout d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d’accord, Tout à fait d’accord, Tout à fait d’accord, D’accord, Ni d’accord ni en désaccord, D’accord, Tout à fait d’accord, Tout à fait d’accord, Pas d’accord, Pas du tout d’accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Agree, Disagree, Neither Agree or Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Pas d'accord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas du tout d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Strongly Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Neither Agree or Disagree, Agree, Strongly Agree, Agree, Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Ni d'accord ni en désaccord, D'accord, Tout à fait d'accord, Tout à fait d'accord, Ni d'accord ni en désaccord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
EN-US,Strongly Agree, Strongly Agree, Strongly Agree, Agree, Disagree, Agree, Strongly Agree, Strongly Agree, Neither Agree or Disagree, Disagree
FR-CA,Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, D'accord, Pas d'accord, Tout à fait d'accord, Tout à fait d'accord, Tout à fait d'accord, Pas d'accord, Pas d'accord
ES-US,Totalmente de acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, De acuerdo, Ni de acuerdo ni en desacuerdo, De acuerdo, Totalmente de acuerdo, Totalmente de acuerdo, En desacuerdo, Ni de acuerdo ni en desacuerdo
